model,metric,metric_label,mean,std,mean_std
CAFNet,MAP,MAP,0.339073119502883,0.023191742000964403,0.3391 +/- 0.0232
CAFNet,auc_all,AUROC,0.7959555570948507,0.01452018930909416,0.7960 +/- 0.0145
CAFNet,aupr_all,AUPR,0.2517792687575611,0.030415157801960524,0.2518 +/- 0.0304
CAFNet,drugAUC,drug-AUROC,0.8440520584937039,0.012894319595121486,0.8441 +/- 0.0129
CAFNet,drugAUPR,drug-AUPR,0.3395400820003932,0.023513206176484384,0.3395 +/- 0.0235
CAFNet,nDCG,nDCG,0.7206412388265907,0.03790499057594579,0.7206 +/- 0.0379
CAFNet,P1,P1,0.5066666666666666,0.08362172320989682,0.5067 +/- 0.0836
CAFNet,P5,P5,0.5021333333333334,0.045568886938240315,0.5021 +/- 0.0456
CAFNet,P10,P10,0.47493333333333326,0.039155530331685666,0.4749 +/- 0.0392
CAFNet,P15,P15,0.4532444444444444,0.037117423873524194,0.4532 +/- 0.0371
CAFNet,R1,R1,0.01983655660022725,0.003905274016591651,0.0198 +/- 0.0039
CAFNet,R5,R5,0.09282734324867202,0.01413993992930044,0.0928 +/- 0.0141
CAFNet,R10,R10,0.16708858530382104,0.017176941343256247,0.1671 +/- 0.0172
CAFNet,R15,R15,0.2305076580197599,0.018881260656422566,0.2305 +/- 0.0189
CAFNet,spearman,spearman,0.3857917007060975,0.05430378310582956,0.3858 +/- 0.0543
CAFNet,rMSE,RMSE,1.754173054728129,0.07534216129658892,1.7542 +/- 0.0753
CAFNet,MAE,MAE,1.3939221200000003,0.066154862694771,1.3939 +/- 0.0662
DSGAT,MAP,MAP,0.38896875306963186,0.026218592007222558,0.3890 +/- 0.0262
DSGAT,auc_all,AUROC,0.822019665082301,0.01946281511753796,0.8220 +/- 0.0195
DSGAT,aupr_all,AUPR,0.26883385255450354,0.033922645754900234,0.2688 +/- 0.0339
DSGAT,drugAUC,drug-AUROC,0.8738312115380028,0.010519761864216508,0.8738 +/- 0.0105
DSGAT,drugAUPR,drug-AUPR,0.38909261485156615,0.026253444936509326,0.3891 +/- 0.0263
DSGAT,nDCG,nDCG,0.8135731393562775,0.03814382410958414,0.8136 +/- 0.0381
DSGAT,P1,P1,0.6826666666666668,0.06403702632649909,0.6827 +/- 0.0640
DSGAT,P5,P5,0.6223999999999998,0.03735872152622563,0.6224 +/- 0.0374
DSGAT,P10,P10,0.5528,0.042893839668202795,0.5528 +/- 0.0429
DSGAT,P15,P15,0.49288888888888893,0.04674960296333106,0.4929 +/- 0.0467
DSGAT,R1,R1,0.02988230877102515,0.005300459345359694,0.0299 +/- 0.0053
DSGAT,R5,R5,0.12015568472891938,0.017145030040342363,0.1202 +/- 0.0171
DSGAT,R10,R10,0.19959710362160582,0.02661266158159445,0.1996 +/- 0.0266
DSGAT,R15,R15,0.2526352199310501,0.027480208465564177,0.2526 +/- 0.0275
DSGAT,spearman,spearman,0.43777104446363235,0.06225630148581812,0.4378 +/- 0.0623
DSGAT,rMSE,RMSE,1.405063763095782,0.09571200702647316,1.4051 +/- 0.0957
DSGAT,MAE,MAE,1.14332551,0.11140582600469182,1.1433 +/- 0.1114
CAFNetV2-val-R,MAP,MAP,0.3954203869588691,0.024854644924496957,0.3954 +/- 0.0249
CAFNetV2-val-R,auc_all,AUROC,0.8162826819496146,0.022040556583533277,0.8163 +/- 0.0220
CAFNetV2-val-R,aupr_all,AUPR,0.2860464959746641,0.03598752525180595,0.2860 +/- 0.0360
CAFNetV2-val-R,drugAUC,drug-AUROC,0.8754840201273716,0.009576658436800903,0.8755 +/- 0.0096
CAFNetV2-val-R,drugAUPR,drug-AUPR,0.3955302388153986,0.024863228304872604,0.3955 +/- 0.0249
CAFNetV2-val-R,nDCG,nDCG,0.8130847217519953,0.03328093681609011,0.8131 +/- 0.0333
CAFNetV2-val-R,P1,P1,0.68,0.060939152003564825,0.6800 +/- 0.0609
CAFNetV2-val-R,P5,P5,0.6256,0.051527961964330876,0.6256 +/- 0.0515
CAFNetV2-val-R,P10,P10,0.5461333333333334,0.0512566045127146,0.5461 +/- 0.0513
CAFNetV2-val-R,P15,P15,0.5088888888888888,0.046249279829784044,0.5089 +/- 0.0462
CAFNetV2-val-R,R1,R1,0.029555108849861882,0.005566990675180793,0.0296 +/- 0.0056
CAFNetV2-val-R,R5,R5,0.12038282533468099,0.019707695845344497,0.1204 +/- 0.0197
CAFNetV2-val-R,R10,R10,0.19884021469129823,0.0305799162224496,0.1988 +/- 0.0306
CAFNetV2-val-R,R15,R15,0.26372150973249797,0.022678733392943455,0.2637 +/- 0.0227
CAFNetV2-val-R,spearman,spearman,0.41561020198845783,0.06939049830874133,0.4156 +/- 0.0694
CAFNetV2-val-R,rMSE,RMSE,1.6368465144044868,0.24191487754614707,1.6368 +/- 0.2419
CAFNetV2-val-R,MAE,MAE,1.3721274300000001,0.23771451291024168,1.3721 +/- 0.2377
CAFNetV2-val-B,MAP,MAP,0.39056082460493186,0.019521814018190455,0.3906 +/- 0.0195
CAFNetV2-val-B,auc_all,AUROC,0.8034666772141643,0.02619560123465128,0.8035 +/- 0.0262
CAFNetV2-val-B,aupr_all,AUPR,0.27343198044530503,0.032107241582601885,0.2734 +/- 0.0321
CAFNetV2-val-B,drugAUC,drug-AUROC,0.8707118646843893,0.010558601024150684,0.8707 +/- 0.0106
CAFNetV2-val-B,drugAUPR,drug-AUPR,0.39070508358303097,0.01953586690087818,0.3907 +/- 0.0195
CAFNetV2-val-B,nDCG,nDCG,0.80134459314579,0.027169591737579064,0.8013 +/- 0.0272
CAFNetV2-val-B,P1,P1,0.684,0.061278558471908114,0.6840 +/- 0.0613
CAFNetV2-val-B,P5,P5,0.6045333333333334,0.041236206073765165,0.6045 +/- 0.0412
CAFNetV2-val-B,P10,P10,0.5389333333333335,0.033441601946389135,0.5389 +/- 0.0334
CAFNetV2-val-B,P15,P15,0.514488888888889,0.0373211032289737,0.5145 +/- 0.0373
CAFNetV2-val-B,R1,R1,0.029550059868970503,0.005567143207322872,0.0296 +/- 0.0056
CAFNetV2-val-B,R5,R5,0.11687517102873583,0.019893657044531103,0.1169 +/- 0.0199
CAFNetV2-val-B,R10,R10,0.1944412741270258,0.026512485706312892,0.1944 +/- 0.0265
CAFNetV2-val-B,R15,R15,0.2677293748677819,0.02517704282706491,0.2677 +/- 0.0252
CAFNetV2-val-B,spearman,spearman,0.4568693339809487,0.07292047511827729,0.4569 +/- 0.0729
CAFNetV2-val-B,rMSE,RMSE,1.2472918180095178,0.13953156751202106,1.2473 +/- 0.1395
CAFNetV2-val-B,MAE,MAE,1.0215064770000002,0.139547493333094,1.0215 +/- 0.1395
CAFNetV2-sem,MAP,MAP,0.40895275967642286,0.02486835837561805,0.4090 +/- 0.0249
CAFNetV2-sem,auc_all,AUROC,0.8250155756774262,0.025522237242708277,0.8250 +/- 0.0255
CAFNetV2-sem,aupr_all,AUPR,0.2962460256032503,0.041070645513030364,0.2962 +/- 0.0411
CAFNetV2-sem,drugAUC,drug-AUROC,0.8785615895332652,0.00935792112190082,0.8786 +/- 0.0094
CAFNetV2-sem,drugAUPR,drug-AUPR,0.40895275967642286,0.024868358375618044,0.4090 +/- 0.0249
CAFNetV2-sem,nDCG,nDCG,0.8264731257317877,0.036308526013100285,0.8265 +/- 0.0363
CAFNetV2-sem,P1,P1,0.7333333333333334,0.05656854249492381,0.7333 +/- 0.0566
CAFNetV2-sem,P5,P5,0.6463999999999999,0.04259623816926603,0.6464 +/- 0.0426
CAFNetV2-sem,P10,P10,0.5799999999999998,0.04511056376241562,0.5800 +/- 0.0451
CAFNetV2-sem,P15,P15,0.5233777777777778,0.041767900066851764,0.5234 +/- 0.0418
