scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE
warm,A3Net,1,0.19709656904024592,0.9041622369013439,0.07600047629521231,0.4127197031116841,0.2,0.11002624671916059,0.056084955394998914,0.3723523060650152,0.4976179745283996,1.3040269561538187,0.96037126
warm,A3Net,2,0.21706314258251197,0.9091442337512556,0.08776776949782375,0.4447732659755506,0.2360248447204969,0.11697722567287833,0.06273903502318824,0.40789203533319174,0.5166836584840135,1.207400663566565,0.8761003
warm,A3Net,3,0.19408383364383275,0.8996726032126849,0.06859381339635377,0.40407533407805557,0.19389312977099238,0.10900763358778677,0.0594539969496363,0.39453273271523137,0.5140555906019749,1.2943556800627176,0.961755
warm,A3Net,4,0.15351531756206557,0.907305874385139,0.07245715239885378,0.33245430263275744,0.12269938650306748,0.10132924335378375,0.03124402718295116,0.34004494768474525,0.49929285245227,1.1716852161590527,0.8360206
warm,A3Net,5,0.2009740857754836,0.908082928584267,0.07765482370953714,0.40458183611422555,0.19722650231124808,0.1100154083204936,0.05876525905287237,0.3961864217390894,0.5255225887260465,1.1781624542677636,0.86353666
warm,A3Net,6,0.20938631454179712,0.911229685958896,0.07795355645617347,0.42475382189726885,0.20153846153846153,0.11220512820512855,0.06243271895125149,0.391764044126611,0.5303844057795125,1.206126098989705,0.89264303
warm,A3Net,7,0.19336159426062546,0.9048179530241339,0.07705446851703025,0.40633250649095093,0.19534883720930232,0.11007751937984536,0.05608362389626888,0.39125310351002235,0.5305433424510502,1.2529906735997884,0.9324132
warm,A3Net,8,0.18301161298551832,0.9076979051995785,0.07669997944226202,0.39115622062312166,0.1780185758513932,0.10928792569659501,0.044225425445528335,0.38937108777280305,0.5266772272598524,1.258063865802256,0.91860795
warm,A3Net,9,0.21458742368774855,0.9143623353969312,0.08563663016298685,0.4321039257249831,0.23374613003095976,0.11496388028895806,0.06658634948113543,0.3951472919548226,0.5043189791640906,1.1999691780423563,0.8811213
warm,A3Net,10,0.1361284575412784,0.899374711653609,0.05604918642168455,0.2909751750794965,0.10124610591900311,0.08712357217030159,0.024662436536916958,0.30318570808909495,0.49266378939449557,1.1771058893433792,0.8491186
warm,CAFNet,1,0.20746189070625135,0.909107962046224,0.07438667441679653,0.43242612007386055,0.2173228346456693,0.11727034120734953,0.06390763369083266,0.40142176620866554,0.531165078460546,1.2138307033466504,0.8760374
warm,CAFNet,2,0.20988762124458527,0.9148894075578443,0.09427946133413512,0.4199936825903448,0.2080745341614907,0.11325051759834409,0.060935194372781165,0.4044677141477766,0.47573935766853187,1.2514505076694233,0.90755314
warm,CAFNet,3,0.22312786754332053,0.9054437025107638,0.08539305646844378,0.44389130415941386,0.24122137404580152,0.11389312977099283,0.0772652093473054,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644
warm,CAFNet,4,0.20924819983883194,0.9134884791185325,0.0883814385861117,0.4166351522670294,0.20245398773006135,0.11083844580777137,0.0657757569456326,0.39251878764351,0.5013293493597232,1.187657546584831,0.8589398
warm,CAFNet,5,0.18196147229713083,0.9085523431982458,0.07862623162885882,0.3959125490214615,0.17565485362095531,0.10837185413456651,0.04986614517126996,0.37622930958606665,0.5122266196251457,1.2315655860581507,0.9000621
warm,CAFNet,6,0.21452413065496487,0.9109697216404733,0.0870943739466862,0.43830624017872893,0.19846153846153847,0.11835897435897473,0.060711849516010774,0.4057271286266734,0.5041964224975537,1.2480147332244913,0.9072928
warm,CAFNet,7,0.2010380006581959,0.9097911945364476,0.08341472519204365,0.41465762794008565,0.20310077519379846,0.1133850129198971,0.05921827844237158,0.3995584849628892,0.5459883570989407,1.208711362219243,0.8954525
warm,CAFNet,8,0.23419956925625754,0.9073017637657474,0.08884326666624909,0.4695788617734263,0.28328173374613,0.12198142414860728,0.08247353097526781,0.41988459825415886,0.5347085213849687,1.26936170179425,0.92834395
warm,CAFNet,9,0.17834858592345726,0.915021040074781,0.08642814226060848,0.3972739638992124,0.19195046439628483,0.10784313725490245,0.04689939233222665,0.37742125438046364,0.4637069284700072,1.2192260594914572,0.89310414
warm,CAFNet,10,0.2011465255562725,0.9114072593489726,0.07781835353707726,0.4212074524113606,0.22429906542056074,0.10695742471443465,0.07307467290429975,0.38511603834185487,0.5293266477263681,1.107199079650568,0.80319434
cold,A3Net,1,0.2994657754380678,0.809763948154243,0.21188395997091944,0.6040634792975279,0.4533333333333333,0.359111111111111,0.017697961980501425,0.200026954016214,0.38742770393173104,1.7065890020838912,1.3418
cold,A3Net,2,0.32943400319459487,0.8193702231190318,0.24982808657707528,0.6590667478064564,0.44,0.47644444444444445,0.011152805500595735,0.23062430187675506,0.4271950588020339,1.6101741103098401,1.2663168
cold,A3Net,3,0.388804738145498,0.8112578924783114,0.31334237841448237,0.7675754669801917,0.6,0.5253333333333337,0.01760247430654265,0.20249487667088825,0.3502612792441846,1.6778328525831396,1.3026996
cold,A3Net,4,0.31913265520266104,0.795061010498563,0.20521801235365877,0.6989678044923183,0.49333333333333335,0.39111111111111097,0.024298237881696123,0.24315886013980859,0.32556368707368954,1.762589064167171,1.357718
cold,A3Net,5,0.30326145393895115,0.8268003060812561,0.2393568903684294,0.6355190715495143,0.3466666666666667,0.4124444444444444,0.013195366559161623,0.22290984494835273,0.31025322988799026,1.7173221552694322,1.354477
cold,A3Net,6,0.3374340327988684,0.7288452274986014,0.21803734552063675,0.7133476697711946,0.49333333333333335,0.4648888888888891,0.01779530391306263,0.20863880496701515,0.47323698328808417,1.8350291500842528,1.5186552
cold,A3Net,7,0.34782930951560675,0.7909555658455366,0.26497208103805636,0.7528485389838232,0.5466666666666666,0.46311111111111103,0.02197285246962801,0.2230027458777098,0.4125877692903864,1.752239837490747,1.4275913
cold,A3Net,8,0.3214407060439252,0.7878934098082593,0.22055323477567612,0.6764702833513435,0.41333333333333333,0.4319999999999998,0.014209854200356427,0.22177752355924193,0.442741816561244,1.5886710525934526,1.2610409
cold,A3Net,9,0.31007943488439793,0.7960168951164017,0.21161100008049447,0.7056345247836273,0.5066666666666667,0.4053333333333333,0.021142693563824397,0.21886728359340027,0.41483189825057526,1.6852338904762572,1.2880164
cold,A3Net,10,0.36920493874869176,0.786334191472175,0.26007144936145415,0.7557767083640541,0.5466666666666666,0.4853333333333336,0.02624677018697758,0.2759144659979475,0.3804758418128186,1.7802486616744861,1.4370201
cold,CAFNet,1,0.32860143333014147,0.7888837103780463,0.22309085985207416,0.665803806598788,0.38666666666666666,0.4319999999999999,0.015058941341939218,0.25311656439691443,0.45002501657376043,1.8315206438380462,1.4860753
cold,CAFNet,2,0.3438882536742385,0.8077800743065932,0.25608353826305486,0.7556715166353787,0.6266666666666667,0.48533333333333334,0.02231039478403435,0.2323553096392471,0.3971411700282979,1.657872466963149,1.2864254
cold,CAFNet,3,0.36621293944307104,0.8029734111811856,0.32001865521386047,0.7432354718061681,0.52,0.5217777777777777,0.013725923876220377,0.19974051819762265,0.30619840842948365,1.8771647354861618,1.4940735
cold,CAFNet,4,0.29276903515074876,0.7905036141044381,0.20811557928990654,0.6659089740891214,0.48,0.39644444444444427,0.018760647984122317,0.2272430998285092,0.3446371892427908,1.820650257651715,1.4290237
cold,CAFNet,5,0.33660320885189127,0.8232088461073562,0.25902324142231753,0.6916236500260016,0.37333333333333335,0.43288888888888866,0.017228736342750708,0.249411021159808,0.30605301961309045,1.7595275650141653,1.3816102
cold,CAFNet,6,0.34773344496799186,0.7810573619775113,0.26369789556810447,0.7489803733525577,0.5466666666666666,0.48,0.018588187026755885,0.21395922300661938,0.4027895907969263,1.7729786686827007,1.4166906
cold,CAFNet,7,0.352613037486965,0.7743930809786921,0.24427299477713102,0.7686612760856404,0.6,0.4524444444444443,0.025419818335525705,0.22123186596237626,0.4306034129901854,1.736780577540201,1.395664
