,,mAP,mAP,AUROC,AUROC,AUPR,AUPR,nDCG@10,nDCG@10,P@1,P@1,P@15,P@15,R@15,R@15,Spearman,Spearman,RMSE,RMSE,MAE,MAE,QWK,QWK,Within1,Within1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,model,,,,,,,,,,,,,,,,,,,,,,,,
cold,A3Net,0.3331535625684937,0.02840927986131812,0.795229867007238,0.027093215875227002,0.23948744384608825,0.033610049220493605,0.4778791811966454,0.05947765445043346,0.484,0.07358206974293616,0.4415111111111111,0.05028149021148362,0.22474156616473326,0.022128831325119173,0.3924577011801267,0.05201200465321636,1.7115929743551554,0.0756386628773665,1.355533504561782,0.08358231669237522,0.2421005418968433,0.033722503754184834,0.6353283580347975,0.03519652089034551
cold,CAFNet,0.3395400820003932,0.023513206176484384,0.7959555570948507,0.014520189309094138,0.2517792687575611,0.030415157801960524,0.49228147468638445,0.04302846698222001,0.5106666666666666,0.08664957096343957,0.4530666666666666,0.03713775933903771,0.23046321357531543,0.018726343316987765,0.3857918335339387,0.05430369262497434,1.7541730654651768,0.07534214106674969,1.393922106564543,0.06615487976568431,0.2377689533770325,0.03442041968910683,0.6205860537493695,0.033969283626053996
cold,CAFNet-D,0.4049613348579708,0.023966702498752063,0.8175610655210932,0.023313187090091204,0.29948808058244814,0.032407054669272475,0.6231585196670388,0.040034057456366116,0.7066666666666667,0.0615840287135601,0.5267555555555555,0.04312144460602909,0.2740832362595689,0.02113600129238336,0.46399719965295744,0.03655107084952126,1.1650093271029587,0.0965578436338141,0.8294381827321471,0.07006390067637852,0.37747115245276197,0.0387752683566325,0.8411448500893307,0.02951685648642919
cold,CAFNet-DG,0.41335371128662557,0.024799986050849418,0.8257332421038228,0.020982520424338708,0.3066322929666806,0.033453176671804995,0.6262305335070516,0.04344324287675774,0.7133333333333334,0.06599663291074442,0.5264888888888889,0.04321265881695059,0.2727215657853247,0.019161821394250367,,,,,,,,,,
cold,DSGAT,0.3890926148515661,0.026253444936509267,0.822019665082301,0.01946281511753796,0.26883385255450354,0.03392264575490023,0.5962480437742935,0.042456067571005715,0.6826666666666666,0.06403702632649906,0.49288888888888893,0.04674960296333097,0.2526352199310501,0.02748020846556418,0.43777102783308497,0.06225635301673139,1.405063779700046,0.09571200490575558,1.1433255318727178,0.11140582493832364,0.26256822795560975,0.04566093971855428,0.7063535039499973,0.049850255678811836
cold,Global popularity,0.4097759591459,0.02608598413775297,0.8249835747282483,0.018793470915594933,0.2953380022008974,0.025745522099208037,0.6264918910051125,0.04166757812363029,0.7333333333333333,0.05656854249492382,0.5230222222222223,0.04453166749798276,0.27032501333247133,0.02073454572006093,0.4937958696991476,0.06117793712134656,0.8170820134634817,0.05389001095126731,0.6086078908314834,0.03505084342294775,0.41374752364565526,0.05057161935240777,0.9319500875346494,0.01631761287871359
cold,HMMF-regenerated,0.38614051792083975,0.026689488441324488,0.8709939164590479,0.011438652010485066,0.347745581996367,0.07255866471751309,0.5739592982127028,0.04252573159890433,0.6546666666666667,0.0736893713963562,0.4940444444444444,0.0449175803674141,0.2502987292491781,0.021210016467448595,0.5414835998602149,0.06812542490842116,0.8312727512678814,0.07391348241496767,0.6049615612069045,0.03833129751999753,0.3825143510157448,0.082868540986791,0.9334458188561576,0.021098672363444964
cold,HSTrans,0.37352086834984866,0.024006049617118858,0.8021466133463158,0.026083512238154045,0.25580196019782236,0.023157915021909,0.577874652464224,0.0422006691809249,0.6586666666666667,0.06657771843937425,0.4904,0.04069098645401497,0.25058178280156707,0.024174618634205478,0.3632605940097905,0.058205605303567096,1.8290967215891794,0.2058428165648216,1.464528186310641,0.20247497942838283,0.20999925074308293,0.04762782328877474,0.6130443271737027,0.0744658190163105
cold,RF,0.1968705212864741,0.016190578045548524,0.7548247319970088,0.023524350517010777,0.15787882672895495,0.02514641852046879,0.3417393570030158,0.02821761123550598,0.2773333333333333,0.07537232684693358,0.26239999999999997,0.026721918070187135,0.13029844309260727,0.017438958081572798,0.36020579663079905,0.05236637418227027,1.8742420485613676,0.09181363609315989,1.6088313638397935,0.08648585568139147,0.1489632005582535,0.022631906450874404,0.4961048815824709,0.031992491285862144
