,mean,std
mAP,0.38614051792083975,0.02668948844132449
AUROC,0.8709939164590479,0.011438652010485061
AUPR,0.347745581996367,0.07255866471751311
nDCG@10,0.5739592982127026,0.04252573159890432
P@1,0.6546666666666667,0.07368937139635622
P@15,0.4940444444444444,0.0449175803674141
R@15,0.2502987292491781,0.021210016467448595
Spearman,0.5414835998602149,0.06812542490842115
RMSE,0.8312727512678816,0.07391348241496769
MAE,0.6049615612069045,0.038331297519997524
QWK,0.3825143510157448,0.08286854098679103
Within1,0.9334458188561578,0.02109867236344497
