scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,A3Net,0,0.809763948154243,0.2118839599709194,74550,2889,75,0.3018838806672476,0.3964550889277522,0.4533333333333333,0.359111111111111,0.200026954016214,0.3874245427910512,1.7065890715996812,1.3417999195121937,0.2316289170604913,0.6285912080304603,2889.0
cold,A3Net,1,0.8193702231190318,0.2498280865770752,74550,3457,75,0.3295341455869098,0.457280271210999,0.44,0.4764444444444444,0.230624301876755,0.4271950588020339,1.610174052966407,1.2663166454239132,0.2775296142975607,0.6748625976280012,3457.0
cold,A3Net,2,0.8112578924783114,0.3133423784144823,74550,4941,75,0.3888056306134231,0.5616452443105663,0.6,0.5253333333333335,0.2024948766708882,0.3502612272807008,1.6778328705083934,1.3026995449354264,0.240613626924809,0.6553329285569722,4941.0
cold,A3Net,3,0.795061010498563,0.2052180123536587,74550,3098,75,0.3192934688346983,0.4614094349518934,0.4933333333333333,0.3911111111111111,0.2431588601398084,0.3255636871065379,1.7625890335910752,1.3577180534710638,0.1957269033889557,0.6368624919302776,3098.0
cold,A3Net,4,0.8268003060812561,0.2393568903684294,74550,2835,75,0.3049614670989899,0.3794713180885947,0.3466666666666667,0.4124444444444444,0.2229098449483528,0.3102583795148118,1.7173221274550106,1.3544769580406175,0.2022569858274366,0.6296296296296297,2835.0
cold,A3Net,5,0.7288452274986014,0.2180373455206367,74550,4453,75,0.3374450734390497,0.5042794059214105,0.4933333333333333,0.4648888888888889,0.2086388049670151,0.4732371979570561,1.8350291510795835,1.518655179183476,0.2475864337217794,0.5674825960026948,4453.0
cold,A3Net,6,0.7909555658455366,0.2649720810380563,74550,4083,75,0.3478293868089406,0.519273137354925,0.5466666666666666,0.4631111111111111,0.2230027458777097,0.4125876321053609,1.7522398410741384,1.4275912845285097,0.2301835571299466,0.6169483223120255,4083.0
cold,A3Net,7,0.7878934098082593,0.2205532347756761,74550,4023,75,0.3216199953971246,0.493001028153578,0.4133333333333333,0.432,0.2217775235592419,0.4427416705528039,1.5886710357228164,1.2610409344052709,0.2802264586768299,0.6733780760626398,4023.0
cold,A3Net,8,0.7960168951164017,0.2116110000804944,74550,3088,75,0.3107041248619174,0.4587619817520894,0.5066666666666667,0.4053333333333333,0.2188672835934002,0.4148311635851744,1.6852339054345875,1.288016471390521,0.2964977461356152,0.6719559585492227,3088.0
cold,A3Net,9,0.786334191472175,0.2600714493614541,74550,4204,75,0.3694584523766362,0.5472149012946458,0.5466666666666666,0.4853333333333333,0.2759144659979475,0.3804764521057361,1.7802486541198608,1.4370200547268286,0.2187551758050085,0.5982397716460514,4204.0
