fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
0,0.91354817827056,0.08674009378076558,712137,3708,635,0.20946967684434398,0.26434357160250926,0.23622047244094488,0.11496062992125984,0.39103167490265395,0.46225246736199016,1.2258785077884244,0.899487360841424,0.38802755387169985,0.8179611650485437,3708
1,0.895720129985475,0.06969175434181706,712137,3708,644,0.2133647006027715,0.2689081165335508,0.23136645962732919,0.11573498964803312,0.39601353548217066,0.5665135201898152,1.2367732180129984,0.9158702923408846,0.45569470186774674,0.8222761596548004,3708
2,0.9086465709060003,0.07406864428651766,712137,3708,655,0.19194024955771222,0.24258003581863757,0.19083969465648856,0.11033078880407123,0.39760657903536656,0.5318051160414753,1.1729971686692775,0.8721414312297735,0.43239060741754254,0.8336030204962244,3708
3,0.9134512281054451,0.07657711106983056,712137,3708,652,0.17713541016942022,0.22339125346961203,0.1549079754601227,0.10869120654396727,0.37474464401038315,0.5258686416012078,1.1304493712148336,0.8207341453613809,0.44873439441098506,0.843042071197411,3708
4,0.9174067654533701,0.09759757695057183,712137,3708,649,0.22798733828167536,0.2807196767501494,0.2465331278890601,0.12357473035439136,0.41578757162944974,0.5176097202232448,1.190366788871287,0.8572812834412081,0.43897241906823303,0.8314455231930961,3708
5,0.9016528665049912,0.05414348915609153,712137,3708,650,0.15137780166296855,0.18317832287255315,0.14923076923076922,0.08830769230769231,0.30104801521227537,0.5037192730618419,1.2273898410379924,0.8781848567961166,0.4097331148857526,0.8292880258899676,3708
6,0.9071198698093823,0.07335847844870613,712137,3708,645,0.1853776244354804,0.23609920284435545,0.17519379844961241,0.10914728682170544,0.37951333878624843,0.5006585687907363,1.2202121811874767,0.8834544309600864,0.4066170231661089,0.8217367853290184,3708
7,0.9130737017093644,0.0890879484488166,712137,3708,646,0.2148431621380171,0.2745436962467379,0.22291021671826625,0.12156862745098039,0.424125368325727,0.5524819779688964,1.1300871393549714,0.8077504118122978,0.48041667686334,0.8543689320388349,3708
8,0.9138303653633483,0.08924449167709322,712137,3708,646,0.22430346385509334,0.28211906352518507,0.23684210526315788,0.11929824561403508,0.40280612794768733,0.5412429262587835,1.1747137023725007,0.8508094333872708,0.4479209857488611,0.8362998921251349,3708
9,0.9157523731852292,0.09189036373552621,712128,3699,642,0.2339792845002736,0.29436663258262125,0.26479750778816197,0.11692627206645897,0.4259996647586444,0.527239170647041,1.1855626734820635,0.8644433027845364,0.43327000443770003,0.8331981616653149,3699
