fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
0,0.9082882954792949,0.08036090458257057,712137,3708,635,0.2067348913359199,0.25923367768835104,0.2377952755905512,0.11328083989501311,0.3990650785084786,0.5113918112678547,1.2445438295464921,0.9234078805285868,0.4021719163244395,0.8133764832793959,3708
1,0.9108321038287244,0.08890787950742474,712137,3708,644,0.2050111481606521,0.26129123269715726,0.2096273291925466,0.11997929606625259,0.4235011378443966,0.5130551047558327,1.2612133261106673,0.909027509978425,0.41584208275809587,0.8136461704422869,3708
2,0.9120296350289386,0.09080114361419041,712137,3708,655,0.20992304612901613,0.267110941762154,0.20763358778625954,0.11908396946564885,0.41335503865900347,0.5480300118916751,1.227894651774736,0.8872035919633225,0.45310472902946575,0.8201186623516721,3708
3,0.9128822586905044,0.08421373616824848,712137,3708,652,0.1911723370829615,0.24009962133779184,0.1901840490797546,0.11134969325153374,0.3986171032627788,0.5366919631398264,1.2289705528172215,0.8906091197411004,0.4316855271403912,0.819848975188781,3708
4,0.9118464280955145,0.08473361489336306,712137,3708,649,0.2000923578850939,0.2474592642191883,0.2049306625577812,0.11145351823317924,0.400366531500624,0.5311780346184638,1.1788270790731203,0.8514090075512405,0.44914150011370446,0.8330636461704423,3708
5,0.9180715743895957,0.09299707594683548,712137,3708,650,0.23035572307374186,0.287510868997617,0.24307692307692308,0.11948717948717948,0.4183804317314471,0.5359623175524316,1.186153294479947,0.8697582305825243,0.43917238031672834,0.831984897518878,3708
6,0.9134063023246007,0.09136542782726259,712137,3708,645,0.22009104061635976,0.2765324300740942,0.24031007751937986,0.11844961240310076,0.4142037324437748,0.543653863935123,1.2064853072662292,0.8936778678532903,0.43362842556866743,0.8247033441208198,3708
7,0.9111415036939319,0.08468794210439676,712137,3708,646,0.19668747900793787,0.24923270874424416,0.22910216718266255,0.10908152734778122,0.3921626903235472,0.5314131716125474,1.217021706609477,0.875328817961165,0.4391194035993412,0.8287486515641855,3708
8,0.9168173512459007,0.10034198713116939,712137,3708,646,0.22492397461037952,0.28641832149786073,0.25077399380804954,0.12280701754385964,0.41440207103447296,0.5165237161367633,1.2022623252270705,0.8730800434196333,0.4252976906334456,0.8287486515641855,3708
9,0.9138618414374537,0.08432329911240254,712128,3699,642,0.18692849950230198,0.23817666269064808,0.18691588785046728,0.10643821391484942,0.40516790507641925,0.479439048803741,1.2469794073116602,0.9399550005406866,0.37456664289430885,0.8056231413895647,3699
