fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
0,0.9061708538742294,0.11059529147761318,712137,3708,635,0.23887943700069753,0.3077650380374507,0.3543307086614173,0.12178477690288714,0.3685530105110911,0.7026068102412201,0.7246353734876123,0.5161060965480043,0.6430683134759492,0.953344120819849,3708
1,0.9084669932178038,0.11251116862202815,712137,3708,644,0.23753352520854581,0.3070648003085584,0.33229813664596275,0.12412008281573497,0.38756428304584445,0.7102375564148731,0.6783807132799488,0.49878341370010787,0.652431566673495,0.9630528586839266,3708
2,0.9076252131326461,0.11130688644046172,712137,3708,655,0.23870174862110896,0.305504070202755,0.3068702290076336,0.12580152671755723,0.40114137602993777,0.6983775584339236,0.733550686010274,0.5194185593311759,0.6243781899836602,0.9501078748651565,3708
3,0.9120883204210624,0.11527073378423425,712137,3708,652,0.24025357175517892,0.30769185801943194,0.3496932515337423,0.12515337423312883,0.38810142322638813,0.7015337411674006,0.7071186758062484,0.49915321844660193,0.6591462805574495,0.9560409924487594,3708
4,0.9041812809692897,0.10378199104937408,712137,3708,649,0.2244602767885054,0.2864379596026421,0.30970724191063176,0.12141756548536208,0.37816524208596713,0.6962058755299028,0.7153203459794364,0.5094887214131607,0.6252712908538842,0.9514563106796117,3708
5,0.910912549084195,0.10359413398604973,712137,3708,650,0.23643407143511766,0.30489856691352163,0.3261538461538461,0.12123076923076925,0.3901334100938821,0.6998481472783307,0.730133511022613,0.5156791003236246,0.6083069451763103,0.9538834951456311,3708
6,0.9043565287644538,0.10582167832744228,712137,3708,645,0.22484414162655292,0.2915400651963398,0.31627906976744186,0.1243410852713178,0.3841346971765666,0.7039099565178787,0.6905391115352357,0.4973781278317152,0.6432462429515475,0.9630528586839266,3708
7,0.9102337193878751,0.11982422842342008,712137,3708,646,0.23355911303586946,0.30273490644502066,0.33900928792569657,0.12229102167182662,0.3825136564247756,0.7161782008547988,0.7026866979970974,0.4994339074973031,0.6442126830858372,0.9568500539374326,3708
8,0.9160030702070814,0.11451281189668289,712137,3708,646,0.24817946075966307,0.31705102753526826,0.34829721362229105,0.12528379772961815,0.3916274452657118,0.698283347224028,0.7332942105950471,0.5153725790183387,0.6174139831070361,0.9509169363538296,3708
9,0.9078991680982723,0.10465802902202799,712128,3699,642,0.2338502612623512,0.3001667521527774,0.3115264797507788,0.12232606438213915,0.39146828804604217,0.7274138609050215,0.6798585655047731,0.48543132765612335,0.6790206455409066,0.9643146796431468,3699
