fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15
0,0.9220992238332879,0.12011123280047117,712137,3708,635,0.2585004496974952,0.3277571498590723,0.35748031496062993,0.13133858267716536,0.4138633605450163
1,0.9256309065666293,0.12439540364334925,712137,3708,644,0.2552658154722624,0.3263369823750082,0.35093167701863354,0.1324016563146998,0.42993042874152726
2,0.9230380389759596,0.12736548269267128,712137,3708,655,0.25878962247911286,0.32492232935298554,0.3297709923664122,0.13129770992366413,0.4294436030073407
3,0.9273524128779269,0.12845553625514258,712137,3708,652,0.2638380916603566,0.3272131959337645,0.35736196319018404,0.13210633946830264,0.42596293941704266
4,0.9228110045333103,0.12370015580040117,712137,3708,649,0.24154009218490968,0.3037496124506112,0.31278890600924497,0.12727272727272726,0.4179938073018861
5,0.9277947256886986,0.12075936082174141,712137,3708,650,0.25834946699183636,0.32627051933238177,0.3292307692307692,0.1332307692307692,0.44615431909204456
6,0.9236354616201898,0.1277100146412657,712137,3708,645,0.25251675907403737,0.3196590697835177,0.32868217054263565,0.13333333333333333,0.4295836722223605
7,0.9270666001564033,0.13517390317575778,712137,3708,646,0.26480117589180163,0.3381028104933345,0.3668730650154799,0.13302373581011354,0.44477012102205504
8,0.9298292102891969,0.13210956886160335,712137,3708,646,0.2679097027872295,0.33563619651446175,0.3637770897832817,0.13384932920536635,0.4268803336781971
9,0.9260631172629668,0.12198129060804669,712128,3699,642,0.25718189190752905,0.3217728060275248,0.338006230529595,0.12647975077881618,0.42951339882902406
