scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
warm,DSGAT,0,0.8680798971185744,0.05796330420627459,712137,3708,635,0.1833802604398116,0.24347292386307146,0.26456692913385826,0.10173228346456692,0.3255096194031262,0.4261226293649043,1.2860321228337674,1.0111375796209776,0.28457290835633253,0.7680690399137001,3708
warm,DSGAT,1,0.8612138286297897,0.05092793486331775,712137,3708,644,0.17051183742233308,0.23405304625075266,0.2096273291925466,0.09855072463768115,0.3330102572429928,0.4423218053869219,1.257310013231458,0.9560182742219913,0.3360310418099848,0.7769687162891047,3708
warm,DSGAT,2,0.8670007670222397,0.06502126097347813,712137,3708,655,0.1882261466094459,0.2534959705122548,0.2595419847328244,0.1042239185750636,0.3468468850203663,0.4275886720054383,1.3565661571392948,1.0650725963383816,0.2868702617304364,0.7510787486515642,3708
warm,DSGAT,3,0.8690206213885145,0.06704083244132368,712137,3708,652,0.1963824508753873,0.2598773387771666,0.2883435582822086,0.10705521472392637,0.35495663710467473,0.4571760143019205,1.114137871852795,0.8334235479048541,0.3683183951981669,0.8314455231930961,3708
warm,DSGAT,4,0.865835258338907,0.05641965410562208,712137,3708,649,0.17086795377065028,0.21653199806852672,0.22342064714946072,0.09399075500770417,0.3066116424768926,0.4337743118454452,1.407458276350717,1.1277357456158794,0.2564766461302709,0.721143473570658,3708
warm,DSGAT,5,0.8667040945452632,0.05923662708110709,712137,3708,650,0.2006716348513693,0.2623374379253903,0.3,0.10492307692307692,0.3452911256512795,0.4239356358438997,1.2786009841878276,0.9956108722293261,0.29050736942445454,0.7745415318230853,3708
warm,DSGAT,6,0.8716328714746757,0.06068581024949859,712137,3708,645,0.18692702400151742,0.24194900353236767,0.27286821705426356,0.10191214470284238,0.3202033967415852,0.43610694756341417,1.164796597823382,0.8842515731320798,0.335532254387654,0.81957928802589,3708
warm,DSGAT,7,0.8631332893592228,0.05299356693900561,712137,3708,646,0.13927321547372293,0.19366798469413726,0.04643962848297214,0.10020639834881322,0.3273960856280778,0.44088637645203826,1.2454592652895722,0.9520651392212707,0.32611070237733975,0.7882955771305286,3708
warm,DSGAT,8,0.8695423618880194,0.06235053354391345,712137,3708,646,0.19747901440887697,0.25597019493663653,0.28173374613003094,0.10319917440660473,0.34209406648004326,0.4510359794167494,1.205891199368989,0.9376332488839294,0.32222347065226686,0.7974649406688241,3708
warm,DSGAT,9,0.8664401995859481,0.059849612278701024,712128,3699,642,0.1780506774574709,0.23620751690524677,0.2367601246105919,0.10228452751817237,0.3384360717253525,0.43184007388835777,1.3578225284815635,1.0914844548534657,0.2575781527330526,0.7410110840767775,3699
