fold,rho,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP
0,0.0,0.9082882954792949,0.08036090458257057,712137,3708,635,0.2067348913359199,0.25923367768835104,0.2377952755905512,0.11328083989501311,0.3990650785084786,0.13496173516143717,0.17867256597379083,0.2372524998683618,0.1218354595155071
0,0.1,0.9158626003152731,0.08692507429404034,712137,3708,635,0.22682515112053817,0.2818546061974849,0.27244094488188975,0.11884514435695538,0.4065805309500506,0.14703336090027816,0.18346375503952622,0.2576473235736234,0.1257127397028001
0,0.2,0.9205366650248401,0.09408754408936042,712137,3708,635,0.23922380158448323,0.29844836611810444,0.29133858267716534,0.12220472440944881,0.4120964638011476,0.1446957243986671,0.19099633318946396,0.26997379492853424,0.12868387034741008
0,0.3,0.9229862277743953,0.10162458023407259,712137,3708,635,0.2505105806932868,0.31288606391591794,0.31496062992125984,0.12640419947506562,0.41619488938527566,0.14926457722994713,0.19471336243802032,0.2826978523605137,0.13000082299155474
0,0.4,0.9238432104512736,0.10961876426497402,712137,3708,635,0.26008113170742214,0.32482788882677816,0.35118110236220473,0.12913385826771653,0.4151307999252009,0.14541234088115088,0.19779383918627097,0.2935136491395538,0.12995657194038931
0,0.5,0.9235006724764709,0.11613615835169702,712137,3708,635,0.26143397952753644,0.3300704512348012,0.3590551181102362,0.12976377952755908,0.4109231492529596,0.13967402185179417,0.19383362868559573,0.29647564893435685,0.13051392715521987
0,0.6,0.9220992242139716,0.12011122680798955,712137,3708,635,0.2585004496974952,0.3277571498590723,0.35748031496062993,0.13133858267716536,0.4138633605450163,0.13270458354954986,0.19248554076409627,0.2939830178410051,0.12752100151361637
0,0.7,0.9196795456826199,0.1214477060346485,712137,3708,635,0.25484611473396246,0.3213410991413424,0.35748031496062993,0.13018372703412073,0.4084702404965087,0.12568924088108865,0.17804900633684578,0.29185713941396785,0.1264789932595046
0,0.8,0.9162472951701846,0.12006298920902547,712137,3708,635,0.25271847484405185,0.31956715001933705,0.3653543307086614,0.12913385826771653,0.3963159085895918,0.12141448624787088,0.155494844885805,0.29032118677292956,0.12175930790374234
0,0.9,0.911763274087286,0.1164461539030815,712137,3708,635,0.24681310413961233,0.3148029642666495,0.3590551181102362,0.12598425196850394,0.38110048865314305,0.0989699080377284,0.13563925038592042,0.2843963177028982,0.11027843026248443
0,1.0,0.9061708538742294,0.11059529147761318,712137,3708,635,0.23887943700069753,0.3077650380374507,0.3543307086614173,0.12178477690288714,0.3685530105110911,0.09764084999464635,0.10642458558702156,0.27621673257898627,0.09268797207553775
1,0.0,0.9108321038287244,0.08890787950742474,712137,3708,644,0.2050111481606521,0.26129123269715726,0.2096273291925466,0.11997929606625259,0.4235011378443966,0.13289317580991553,0.16933195220318056,0.2336227291502079,0.13517949690116451
1,0.1,0.9190854635352557,0.09462884758474827,712137,3708,644,0.22972659851565247,0.2917611678904024,0.2577639751552795,0.12463768115942028,0.4289441828302397,0.14583730085819052,0.17283496154543213,0.26038906598851524,0.13650954873261206
1,0.2,0.9243674788789197,0.10071053672339991,712137,3708,644,0.24070127037233127,0.30742668326813255,0.2950310559006211,0.12681159420289853,0.4300690254926895,0.15023985523641992,0.1768311071459062,0.27223358033167,0.1385710470333839
1,0.3,0.9270064856787824,0.1071551480263671,712137,3708,644,0.25043818227565795,0.3188686752514274,0.32142857142857145,0.1289855072463768,0.43464700057961925,0.14489032266937316,0.1793322354182575,0.2834128863789233,0.13984984096835373
1,0.4,0.9277532174931096,0.11400025293579644,712137,3708,644,0.25103819070383254,0.3207447010794035,0.3307453416149068,0.13209109730848861,0.4360171854493631,0.14244250130813024,0.17217048305480784,0.28435996843826755,0.1412566103108201
1,0.5,0.9272136592972435,0.12010534288012982,712137,3708,644,0.257226426124437,0.3281079869400291,0.34782608695652173,0.132712215320911,0.4326278747066344,0.129510830388395,0.16561962886540302,0.290239306481064,0.14413443754042357
1,0.6,0.9256309058052625,0.12439540144725751,712137,3708,644,0.2552658154722624,0.3263369823750082,0.35093167701863354,0.1324016563146998,0.42993042874152726,0.11578586642660978,0.16711224209052475,0.2874604080274767,0.14186258126522464
1,0.7,0.9230506896564845,0.12605100744116227,712137,3708,644,0.25438224273384424,0.3255569107498316,0.358695652173913,0.13291925465838508,0.4254648726845678,0.11254898909054334,0.1620896488726417,0.28675293245657424,0.13791998540535041
1,0.8,0.919408515468681,0.1245349990361875,712137,3708,644,0.2505838594035139,0.3224012860412104,0.35248447204968947,0.13136645962732918,0.4176964447881424,0.0943836448145349,0.1537656102983226,0.28243973564941505,0.1377555737320846
1,0.9,0.914589529155585,0.11998722221163893,712137,3708,644,0.24778022831486046,0.31647246824644315,0.35093167701863354,0.127639751552795,0.40043684535131285,0.08066539318868568,0.12965368077498698,0.2792118935309586,0.12237642367851127
