Model,fold,MAP,auc_all,aupr_all,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original,1,0.2074618907062513,0.909107962046224,0.0743866744167965,0.4324261200738605,0.2173228346456693,0.1172703412073495,0.0639076336908326,0.4014217662086655,0.531165078460546,1.2138307033466504,0.8760374
CAFNet-original,2,0.2098876212445852,0.9148894075578444,0.0942794613341351,0.4199936825903448,0.2080745341614907,0.113250517598344,0.0609351943727811,0.4044677141477766,0.4757393576685318,1.2514505076694231,0.90755314
CAFNet-original,3,0.2231278675433205,0.9054437025107638,0.0853930564684437,0.4438913041594138,0.2412213740458015,0.1138931297709928,0.0772652093473054,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644
A3Net-original,1,0.1970965690402459,0.904162236901344,0.0760004762952123,0.4127197031116841,0.2,0.1100262467191605,0.0560849553949989,0.3723523060650152,0.4976179745283996,1.3040269561538187,0.96037126
A3Net-original,2,0.2170631425825119,0.9091442337512556,0.0877677694978237,0.4447732659755506,0.2360248447204969,0.1169772256728783,0.0627390350231882,0.4078920353331917,0.5166836584840135,1.207400663566565,0.8761003
A3Net-original,3,0.1940838336438327,0.8996726032126849,0.0685938133963537,0.4040753340780555,0.1938931297709923,0.1090076335877867,0.0594539969496363,0.3945327327152313,0.5140555906019749,1.2943556800627176,0.961755
CAFNetV2-B-3fold,1,0.1969030045898785,0.8516124880254703,0.0634876189609594,0.4290776444314479,0.289763779527559,0.0988976377952762,0.0803098629031575,0.3154329556438709,0.3957252908558933,1.2732216119603224,1.0407214
CAFNetV2-B-3fold,2,0.1786099738827441,0.8336416895549897,0.0473500289300147,0.4070774556440463,0.2406832298136646,0.1047619047619052,0.0561558505366089,0.3429804388829064,0.4951279856095574,1.230648499938177,1.0138667
CAFNetV2-B-3fold,3,0.2019949961056772,0.8418943330056975,0.0626667094890977,0.4381284286449722,0.2839694656488549,0.1097201017811709,0.0719363442589987,0.352878024639467,0.4188515572614846,1.142187276649714,0.9089122
CAFNetV2-sem-3fold,1,0.2191941403543353,0.8702914290046854,0.0745303507903867,0.4834657247805019,0.3307086614173228,0.1125459317585306,0.083402027116328,0.349001169802871,0.3071667895759822,1.818579245610347,1.5295632
CAFNetV2-sem-3fold,2,0.212267930869517,0.8582550907881723,0.0719241322424616,0.4666997954803523,0.3074534161490683,0.1116977225672881,0.0794421178874256,0.359032815265187,0.3508767880532309,1.7307867786952482,1.4456656
CAFNetV2-sem-3fold,3,0.2200132639754466,0.8714926556890394,0.0781116303457621,0.4594533144130125,0.3053435114503817,0.1127735368956746,0.0821168963193218,0.3583790845866617,0.2968108018261709,1.6319921157403374,1.3044765
