Model,fold,MAP,auc_all,aupr_all,drugAUC,drugAUPR,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original-3fold,0,0.2074618907062513,0.909107962046224,0.0743866744167965,0.9002985675173252,0.2074618907062513,0.4324261200738605,0.2173228346456693,0.1172703412073495,0.0639076336908326,0.4014217662086655,0.531165078460546,1.2138307033466504,0.8760374
CAFNet-original-3fold,1,0.2098876212445852,0.9148894075578444,0.0942794613341351,0.9025075369515028,0.2099327488961902,0.4199936825903448,0.2080745341614907,0.113250517598344,0.0609351943727811,0.4044677141477766,0.4757393576685318,1.2514505076694231,0.90755314
CAFNet-original-3fold,2,0.2231278675433205,0.9054437025107638,0.0853930564684437,0.8979032791795044,0.2231278675433205,0.4438913041594138,0.2412213740458015,0.1138931297709928,0.0772652093473054,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644
WarmPlus-regression_prior-3fold,0,0.1945604872269623,0.8527556336526035,0.0551082368691524,0.8975060531819745,0.1806165000333989,0.4187069520904573,0.2015748031496063,0.1119160104986882,0.0554030220239347,0.3756551374262415,0.5091472567984503,1.322984958998571,0.98260725
WarmPlus-regression_prior-3fold,1,0.1888730111825969,0.8925227101214518,0.0757906094283934,0.8946513129879559,0.1785422349507206,0.4061335964299409,0.1925465838509316,0.1112836438923399,0.0538158209030518,0.3871760511795073,0.4669025075510608,1.2529392019075618,0.90683335
WarmPlus-regression_prior-3fold,2,0.2046136468750345,0.8946817505247565,0.075892329893648,0.9010829743754928,0.1951160388434922,0.4127383345629598,0.2045801526717557,0.1120610687022905,0.0628024035638889,0.3938649829080292,0.515504775447794,1.2163913596043645,0.878573
WarmPlus-rank_pop-3fold,0,0.2329537006383406,0.8899813674584269,0.0653814830467412,0.8999631069653082,0.1730138845874305,0.4895819355914909,0.3385826771653543,0.1191601049868769,0.0895667820901381,0.3628123111527538,0.5111393414841148,1.3566002424289103,1.0094502
WarmPlus-rank_pop-3fold,1,0.2286038698388956,0.8973591265952046,0.0683388012347634,0.8954942404766425,0.1837365108368381,0.4801819035745687,0.3152173913043478,0.1169772256728782,0.0819297267984981,0.3718574222231104,0.501374579045448,1.2652183161885615,0.92029375
WarmPlus-rank_pop-3fold,2,0.2275434031788143,0.8961165839603801,0.0680460523587256,0.8985097161105494,0.2106406329492201,0.4599469569344284,0.3068702290076336,0.1187786259541987,0.0810039094334342,0.379224907007212,0.4935274965194718,1.2659609313468785,0.92307436
WarmPlus-hybrid-3fold,0,0.2314414760281394,0.8598981949718262,0.0593493383578585,0.8934930157848125,0.1733231035888663,0.4912502321745425,0.3433070866141732,0.118425196850394,0.0899485052080817,0.3619422294230969,0.5071087727571932,1.4162567143899751,1.0737951
WarmPlus-hybrid-3fold,1,0.2291094291099226,0.8829714754473906,0.0654057357994164,0.9025020603126808,0.1847338880012249,0.4819318962991607,0.3183229813664596,0.1168737060041411,0.083974240256055,0.3717960249241773,0.5279413051739651,1.2302795749141195,0.8906429
WarmPlus-hybrid-3fold,2,0.2244986266293299,0.8738982333264405,0.0650747819922922,0.9047770643375008,0.1959106388662267,0.4586322517058013,0.3022900763358778,0.1166412213740461,0.0792712061740134,0.3750029731704731,0.509491144316035,1.174424361185849,0.85824937
